Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 08/24  18:00:00,3.71720188436852,0.605182281760405,0.000000000000000E+000,0.000000000000000E+000,2.14397750834190,0.562691376369521,2.70666888471142,0.562691376369521,0.111060674744059,2.277962859333829E-002,0.383154291509830,0.448463368749861,0.574289956202645 
 08/24  19:00:00,3.54072824005363,0.618663698288843,0.000000000000000E+000,0.000000000000000E+000,1.96028446010909,0.526736513688904,2.48702097379799,0.526736513688904,0.216118055394306,4.432793660167091E-002,0.315283878980793,0.462902383218871,0.586776743589011 
 08/24  20:00:00,3.41605150739874,0.580164849514911,0.000000000000000E+000,0.000000000000000E+000,1.72231120877893,0.472788821339624,2.19510003011855,0.472788821339624,0.369201655799319,7.572690476557534E-002,0.282131553876513,0.478816350778802,0.547181663771400 
 08/24  21:00:00,3.19431226654266,0.531716371513126,0.000000000000000E+000,0.000000000000000E+000,1.45814758024172,0.414695712594016,1.87284329283573,0.414695712594016,0.474259036449565,9.727519913454705E-002,0.267221967130982,0.467637758931825,0.499503221234446 
 08/24  22:00:00,2.62102184608593,0.455568008615821,0.000000000000000E+000,0.000000000000000E+000,1.20395296954955,0.353857134669390,1.55781010421893,0.353857134669390,0.354193420564790,7.264856920465887E-002,0.216614189355009,0.404680550682537,0.427691655295306 
 08/24  23:00:00,2.08689841014470,0.374951365909594,0.000000000000000E+000,0.000000000000000E+000,0.978648991236269,0.297849078890772,1.27649807012704,0.297849078890772,0.246134459365500,5.048459408414295E-002,0.147046405988563,0.351659868519450,0.350727333578512 
 08/24  24:00:00,1.59893413422708,0.287083983511736,0.000000000000000E+000,0.000000000000000E+000,0.794936857491219,0.248138204864573,1.04307506235579,0.248138204864573,0.126068843480724,2.585796415425477E-002,9.798097682479152E-002,0.290876275351520,0.267047019020665 
 08/25  01:00:00,1.32245184815957,0.246938212022421,0.000000000000000E+000,0.000000000000000E+000,0.655377314253499,0.210189175660517,0.865566489914016,0.210189175660517,7.504097667905331E-002,1.539165052586057E-002,8.355728931351325E-002,0.267820429667131,0.228489445677558 
 08/25  02:00:00,1.14508530738199,0.237030525870810,0.000000000000000E+000,0.000000000000000E+000,0.551034292484337,0.181049543402845,0.732083835887181,0.181049543402845,5.102787345145721E-002,1.046631908413857E-002,7.171700163401486E-002,0.264715265265193,0.218795658266177 
 08/25  03:00:00,1.02424019681898,0.239631910819730,0.000000000000000E+000,0.000000000000000E+000,0.465764423903774,0.156689971121815,0.622454395025590,0.156689971121815,5.102787345145721E-002,1.046631908413857E-002,6.422752921492920E-002,0.260989067982868,0.221653721703374 
